['2599', '10/01/24', 'Haze', 'By: HEROZER', '1f1n1ty - Plummet', '5⭐️ 2⚪ 175🔵', '94350538']
['2598', '09/01/24', 'cano', 'By: Justusrl', 'Namice - Raindrop', '6⭐️ 2⚪ 225🔵', '96418989']
['2597', '08/01/24', 'Goblar', 'By: Creator Creepy', 'Geoplex - Catharsis', '6⭐️ 1⚪ 225🔵', '95325555', '']
['2596', '07/01/24', 'black powder', 'By: vrdr', 'dj-Nate - Electrodynamix', '8⭐️ 3⚪ 350🔵', '96609002']
['2595', '06/01/24', 'Party Time 2', 'By: RedCupcake', 'LemKuuja - Ouais Ouais (ft. SlyLeaf)', '6⭐️ 3⚪ 225🔵', '93288701']
['2594', '05/01/24', 'insert text', 'By: Pringlex', 'Cursedsnake - Firmament', '4⭐️ 2⚪ 125🔵', '95353635']
['2593', '04/01/24', 'moderna', 'By: epicpepsiyt', 'ryomura211 - Camellia', '5⭐️ 2⚪ 175🔵', '94813965']
['2592', '03/01/24', 'Bontien', 'By: Meow Meow1337', 'EnV - Bonus Level', '6⭐️ 1⚪ 225🔵', '91893984']
['2591', '02/01/24', 'Flash Trip', 'By: GdNixx', 'macjbeats - u broke my soul', '6⭐️ 0⚪ 225🔵', '95516584']
['2590', '01/01/24', 'T 0 n s 3 S', 'By: IalbaGD', 'DJKadenza - Starset', '4⭐️ 0⚪ 125🔵', '96626685']
['2588', '30/12/23', 'Outventure', 'By: Popugau4ek', 'DerpCat - Moonlight', '5⭐️ 0⚪ 175🔵', '95611730']
['2587', '29/12/23', 'Bakery', 'By: AndrixGD', '5m2kes - Cup Cake', '5⭐️ 1⚪ 175🔵', '94076968']
['2586', '28/12/23', 'The Sun Will Shine', 'By: TimeRed', 'mididuck - the sun will shine', '7⭐️ 3⚪ 275🔵', '95370621']
['2585', '27/12/23', 'Airbone Glowy', 'By: RikiGD', 'F-777 - Airborne Robots', '6⭐️ 1⚪ 225🔵', '96533488']
['2584', '26/12/23', 'Chill Lofi Beats', 'By: FlickGMD', 'Gage - frite2', '5⭐️ 3⚪ 175🔵', '96656861']
['2583', '25/12/23', 'AstronautS', 'By: RuchkaSiniy', 'Lirrezzz - Plutos descent', '5⭐️ 0⚪ 175🔵', '96671840']
['2582', '24/12/23', 'CAUTION', 'By: CrazyKnight', 'Shirobon - Into The Zone', '4⭐️ 2⚪ 125🔵', '96700424']
['2581', '23/12/23', 'Take My Hand', 'By: ItsDanito', 'Panda Eyes - Take My Hand', '7⭐️ 3⚪ 275🔵', '95437649']
['2580', '22/12/23', 'Royal Radiance', 'By: purzin', 'Andersson187 - The Next Level', '5⭐️ 3⚪ 175🔵', '97428906']
['2579', '21/12/23', 'Cloudy Heaven', 'By: Emanuell', 'FaunSound - Figurehead (GRTSU RMX)', '7⭐️ 0⚪ 275🔵', '97407109']
['2578', '20/12/23', '🥇 First 2.2 DLcolor banding map', 'By: robotchief', 'Cacola - Lit Fuse', '3⭐️ 3⚪ 75🔵', '97317513', '']
['2577', '19/12/23', '🔚 Last 2.1 DLPolar', 'By: xVainaja', 'Step - Polargeist', '6⭐️ 0⚪ 225🔵', '97424639']
['2576 ', '18/12/23', 'MANIC', 'By: azubhCH', 'Jacques Melissa - Let the cows dance', '5⭐️ 2⚪ 175🔵', '97377003', '']
